region,employment_rate,year
Northern and Western,74.0,2019
Southern,72.8,2019
Eastern and Midland,76.6,2019
Northern and Western,70.9,2020
Southern,70.7,2020
Eastern and Midland,73.2,2020
Northern and Western,76.0,2021
Southern,72.9,2021
Eastern and Midland,75.9,2021
Northern and Western,78.5,2022
Southern,76.4,2022
Eastern and Midland,79.0,2022
Northern and Western,78.2,2023
Southern,78.3,2023
Eastern and Midland,80.7,2023
Northern and Western,78.4,2024
Southern,78.8,2024
Eastern and Midland,80.8,2024
